Marca temporal,¿En qué departamento vives actualmente?,Qué edad tienes,¿Cuál es tu sexo?,¿Cuál es tu grado de instrucción?,¿Cuántos años de experiencia tienes en Desarrollo Web?,¿Cuál es tu situación laboral actual?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,¿Estás en planilla?,¿Emites recibos por honorarios u otro comprobante de pago?,En tu trabajo actual ¿Tu función principal es desarrollo web?,¿Cuál es tu ingreso mensual bruto (antes de descuentos) en soles?,"Si comparas tu sueldo bruto actual con tu sueldo bruto hace doce meses, dirías que:",¿Qué sistema operativo usas principalmente para desarrollo web?,¿Qué herramientas para desarrolladores (developer tools) de tu navegador utilizas?,¿Cuantos años de experiencia tienes con...? [.NET],¿Cuantos años de experiencia tienes con...? [Go],¿Cuantos años de experiencia tienes con...? [Java],¿Cuantos años de experiencia tienes con...? [Node.js],¿Cuantos años de experiencia tienes con...? [PHP],¿Cuantos años de experiencia tienes con...? [Python],¿Cuantos años de experiencia tienes con...? [Ruby],¿Qué frameworks backend cononces?,¿Qué frameworks de JavaScript conoces?,¿Con qué pre/post procesadores has trabajado?,¿Con qué herramientas de automatizacion has trabajado?,¿Con qué bases de datos relacionales has trabajado?,¿Con qué bases de datos no relacionales has trabajado?,¿Con qué plataformas Cloud has trabajado?,¿A través de qué medios aprendes sobre desarrollo web?,¿Para qué sistemas operativos móviles has desarrollado aplicaciones?,Si desarrollas webapps móviles ¿Qué frameworks has utilizado para su desarrollo?
2018/01/05 11:08:01 a. m. GMT-5,Amazonas,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Menos de 1 año,Zend Framework;Play Framework (Java),jQuery;jQuery UI;Framework7;Kendo,CoffeeScript;PostCSS,WebPack,MySQL;Microsoft SQL Server,Apache Cassandra,Microsoft Azure,"Documentación en la web;Libros, revistas y otras publicaciones impresas",Android,NativeScript
2018/01/05 11:09:46 a. m. GMT-5,Cusco,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Menos de 1 año,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Symfony (PHP),jQuery;jQuery UI;Backbone.js;React;Vue.js;Sencha,SASS;LESS;PostCSS,WebPack,MySQL;Microsoft SQL Server;Oracle Database,MongoDB,Amazon Web Services;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Reac Native
2018/01/05 11:11:47 a. m. GMT-5,Piura,17 - 23 años,Hombre,Estudiante de universidad,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,Menos de 1 año,No conozco,No conozco,Spring Boot (Java),jQuery,SASS,WebPack,MySQL;Microsoft SQL Server,MongoDB,Amazon Web Services,Seminarios Web / Webinars,Android,Ionic Framework
2018/01/05 11:15:42 a. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,Menos de 1 año,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance,No conozco,No conozco,No conozco,Menos de 1 año,Menos de 1 año,No conozco,No conozco,Laravel (PHP),jQuery;Vue.js,SASS;Pug,Gulp,MySQL,,,Cursos en línea de plataformas de pago;En la universidad o instituto,,
2018/01/05 11:15:54 a. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiantes de instituto,De 4 a 6 años,Trabajo como dependiente,,,Sí,,Sí,De 3501 a 4500 soles,Es igual,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Play Framework (Java);Spring Boot (Java);Yii;Express (Node.js),jQuery;jQuery UI;AngularJS;React;Vue.js,SASS;Pug;PostCSS,WebPack,MySQL;PostgreSQL,Redis,Amazon Web Services;Google Cloud Platform,Documentación en la web,Android,Reac Native;NativeScript
2018/01/05 11:29:13 a. m. GMT-5,Piura,24 - 30 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,De 1 a 3 años,No conozco,De 4 a 6 años,No conozco,De 4 a 6 años,No conozco,No conozco,CodeIgniter (PHP),jQuery;jQuery UI,,,MySQL;Microsoft SQL Server;Oracle Database,,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Seminarios Web / Webinars",Android,
2018/01/05 11:31:05 a. m. GMT-5,Lima,31 - 40 años,Hombre,Graduado de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,No conozco,No conozco,Spring Boot (Java),jQuery,CoffeeScript;PostCSS,,MySQL;Microsoft SQL Server,MongoDB,Microsoft Azure,"Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago",Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/05 11:50:47 a. m. GMT-5,Tacna,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,No,Sí,De 1501 a 2500 soles,Ha aumentado,GNU/Linux,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);Django (Python),jQuery;Vue.js,SASS;Pug,Gulp,MySQL;PostgreSQL,MongoDB;Redis,Una nube privada (implementación a medida),"Documentación en la web;Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",,
2018/01/05 12:13:46 p. m. GMT-5,Cusco,31 - 40 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 1501 a 2500 soles,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger,Más de 6 años,No conozco,De 1 a 3 años,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;jQuery UI,,,MySQL;Microsoft SQL Server,,Google Cloud Platform,Documentación en la web;Cursos en línea de plataformas de pago,,
2018/01/05 12:40:00 p. m. GMT-5,Cusco,31 - 40 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,Menos de 1500 soles,Ha aumentado,GNU/Linux,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,De 4 a 6 años,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery,SASS,,MySQL;Microsoft SQL Server,Redis,Una nube privada (implementación a medida),Documentación en la web;Cursos de educación continua (fuera de planes de estudio superior),Android,Apache Cordova
2018/01/05 1:16:07 p. m. GMT-5,Cusco,24 - 30 años,Mujer,Graduado de universidad,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,De 1501 a 2500 soles,Es igual,Microsoft Windows,Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,Menos de 1 año,No conozco,No conozco,,jQuery,,Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,,Documentación en la web,Android,
2018/01/05 1:18:23 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de instituto,De 1 a 3 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,No conozco,No conozco,,jQuery;Webix,SASS;PostCSS,,MySQL;Microsoft SQL Server,MongoDB;Redis;Apache Cassandra;CouchDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Seminarios Web / Webinars",Android,
2018/01/05 4:56:27 p. m. GMT-5,Arequipa,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,No,,,No,Menos de 1500 soles,Es igual,GNU/Linux,Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python);Ruby on Rails;Zend Framework;Symfony (PHP),jQuery;jQuery UI;AngularJS;React,SASS,WebPack,MySQL;Microsoft SQL Server;PostgreSQL,,Amazon Web Services;Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto",Android,Ionic Framework
2018/01/05 5:27:43 p. m. GMT-5,Áncash,31 - 40 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 2501 a 3500 soles,Es igual,Microsoft Windows,Consola;Depurador de JavaScript / Debugger,De 1 a 3 años,No conozco,De 1 a 3 años,De 1 a 3 años,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;AngularJS,SASS,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,,Documentación en la web;Cursos en línea de plataformas de pago;En la universidad o instituto,Android,
2018/01/05 5:49:56 p. m. GMT-5,Lima,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como dependiente,,,No,,Sí,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Consola;Depurador de JavaScript / Debugger,No conozco,No conozco,No conozco,No conozco,No conozco,Menos de 1 año,De 1 a 3 años,Laravel (PHP);Django (Python);Ruby on Rails,jQuery;AngularJS;React,SASS,WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services,Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups,,
2018/01/05 6:03:15 p. m. GMT-5,Lima,31 - 40 años,Hombre,Estudiante de universidad,De 4 a 6 años,Trabajo como independiente,,,,Sí,No,De 1501 a 2500 soles,Es igual,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,No conozco,No conozco,Menos de 1 año,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),AngularJS;Vue.js,Pug;CoffeeScript,Grunt,MySQL;PostgreSQL,,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/05 6:58:26 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 4501 a 5500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Rendimiento / Timeline / Performance,Menos de 1 año,Menos de 1 año,De 1 a 3 años,De 1 a 3 años,De 4 a 6 años,Más de 6 años,Menos de 1 año,Laravel (PHP);Django (Python);Zend Framework;Spring Boot (Java);Webpy (Python),jQuery;jQuery UI;AngularJS;Sencha,Stylus,Gulp,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,MongoDB;Redis;DynamoDB,Amazon Web Services;Google Cloud Platform;Microsoft Azure,Documentación en la web;Comunidades locales de desarrollo,,Phonegap
2018/01/05 7:26:49 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 4 a 6 años,Trabajo como dependiente,,,Sí,,No,De 3501 a 4500 soles,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Depurador de JavaScript / Debugger,De 1 a 3 años,No conozco,Menos de 1 año,Menos de 1 año,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Symfony (PHP);Spring Boot (Java),jQuery;jQuery UI;AngularJS;React,SASS;Stylus,,MySQL;Microsoft SQL Server;Oracle Database,,Microsoft Azure,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Cursos de educación continua (fuera de planes de estudio superior)",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova;Phonegap
2018/01/05 9:38:05 p. m. GMT-5,Lima,17 - 23 años,Hombre,Estudiantes de instituto,Menos de 1 año,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode,Menos de 1 año,No conozco,Menos de 1 año,No conozco,Menos de 1 año,Menos de 1 año,No conozco,Laravel (PHP),jQuery,LESS,WebPack,MySQL;Microsoft SQL Server,,Google Cloud Platform,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones)",Android,
2018/01/05 10:35:11 p. m. GMT-5,Ucayali,31 - 40 años,Hombre,Maestría,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,Sí,De 2501 a 3500 soles,Ha aumentado,Microsoft Windows,Depurador de JavaScript / Debugger;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 4 a 6 años,No conozco,Más de 6 años,No conozco,Más de 6 años,Menos de 1 año,Menos de 1 año,Laravel (PHP);CodeIgniter (PHP);Play Framework (Java);Spring Boot (Java),jQuery;AngularJS;Framework7,Pug;CoffeeScript;PostCSS,Grunt;Gulp;WebPack,MySQL;Microsoft SQL Server;PostgreSQL;Oracle Database,,Una nube privada (implementación a medida),"Documentación en la web;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;En la universidad o instituto;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Ionic Framework;Apache Cordova;NativeScript
2018/01/05 10:45:22 p. m. GMT-5,Ucayali,31 - 40 años,Hombre,Maestría,De 6 a 10 años,Trabajo como independiente,,,,Sí,Sí,De 4501 a 5500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,De 4 a 6 años,No conozco,De 4 a 6 años,De 4 a 6 años,De 4 a 6 años,Menos de 1 año,De 1 a 3 años,Laravel (PHP);CodeIgniter (PHP);Ruby on Rails;Symfony (PHP);Sinatra (Ruby);Cuba (Ruby),jQuery;AngularJS;Backbone.js;React,SASS;Stylus;CoffeeScript,Grunt;Brocoli;WebPack,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,Amazon Web Services;Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En grupos de amigos o compañeros de trabajos / Meetups;Libros, revistas y otras publicaciones impresas;Comunidades locales de desarrollo;Cursos de educación continua (fuera de planes de estudio superior);Seminarios Web / Webinars",Android;Webapps móviles (híbridas para cualquier plataforma),Reac Native;NativeScript
2018/01/06 12:34:50 a. m. GMT-5,Áncash,24 - 30 años,Mujer,Graduado de universidad,Menos de 1 año,Trabajo como dependiente e independiente,Sí,No,,,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources,De 4 a 6 años,Menos de 1 año,De 4 a 6 años,Menos de 1 año,Más de 6 años,No conozco,No conozco,Laravel (PHP),jQuery;AngularJS,SASS,Grunt,MySQL;Microsoft SQL Server;Oracle Database;WB,,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En grupos de amigos o compañeros de trabajos / Meetups;Comunidades locales de desarrollo",Android,Ionic Framework
2018/01/06 1:09:01 a. m. GMT-5,Lambayeque,24 - 30 años,Hombre,Estudiante de universidad,De 1 a 3 años,Trabajo como independiente,,,,No,Sí,Menos de 1500 soles,Ha disminuido,Microsoft Windows,Inspector / Elements / DOM Explorer,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP),jQuery;AngularJS,SASS,WebPack,MySQL;Microsoft SQL Server,MongoDB,Una nube privada (implementación a medida),"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;En la universidad o instituto",Webapps móviles (híbridas para cualquier plataforma),Phonegap
2018/01/06 2:06:08 a. m. GMT-5,Áncash,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,Trabajo como dependiente e independiente,Sí,Sí,,,No,De 3501 a 4500 soles,Es igual,Microsoft Windows,Consola;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,No conozco,Menos de 1 año,No conozco,De 4 a 6 años,No conozco,No conozco,Laravel (PHP);Symfony (PHP),jQuery,,,MySQL;Microsoft SQL Server;PostgreSQL,,Amazon Web Services,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);En la universidad o instituto;Seminarios Web / Webinars",,
2018/01/06 4:35:54 a. m. GMT-5,Arequipa,31 - 40 años,Hombre,Graduado de instituto,De 4 a 6 años,Trabajo como independiente,,,,Sí,No,Menos de 1500 soles,Ha aumentado,Microsoft Windows,Consola,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,Menos de 1 año,No conozco,Laravel (PHP);CodeIgniter (PHP);Django (Python),jQuery;jQuery UI;AngularJS,SASS;Stylus,WebPack,MySQL;PostgreSQL,MongoDB,Microsoft Azure,Comunidades locales de desarrollo,Android,Ionic Framework;Apache Cordova
2018/01/06 9:52:37 a. m. GMT-5,Áncash,12 - 16 años,Mujer,Escolar,Menos de 1 año,Trabajo como independiente,,,,No,Sí,De 5501 a más,Ha disminuido,Mac,Inspector de memoria / Profiles / Memory,No conozco,No conozco,No conozco,De 4 a 6 años,No conozco,No conozco,No conozco,.NET,Vue.js,,,Oracle Database,Redis;Apache Cassandra,Una nube privada (implementación a medida),Cursos en línea de plataformas de pago;Cursos de educación continua (fuera de planes de estudio superior),iOS,
2018/01/06 2:25:29 p. m. GMT-5,Lima,24 - 30 años,Hombre,Graduado de universidad,De 6 a 10 años,No trabajo actualmente,,,,,,,Es igual,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Editor de estilos / Sources / Resources;Inspector de almacenamiento / Resources / Storage,No conozco,No conozco,Menos de 1 año,Menos de 1 año,Más de 6 años,No conozco,No conozco,,jQuery;jQuery UI,SASS;LESS,,MySQL;PostgreSQL,,Amazon Web Services,Documentación en la web;Comunidades locales de desarrollo,,
2018/01/06 2:56:55 p. m. GMT-5,Lambayeque,24 - 30 años,Hombre,Graduado de universidad,De 1 a 3 años,Trabajo como dependiente e independiente,No,Sí,,,No,De 1501 a 2500 soles,Ha aumentado,Microsoft Windows,Inspector / Elements / DOM Explorer;Consola;Modo de diseño responsivo / Device mode / Emulation / Responsive design mode;Editor de estilos / Sources / Resources;Rendimiento / Timeline / Performance;Inspector de almacenamiento / Resources / Storage;Inspector de memoria / Profiles / Memory,Menos de 1 año,Menos de 1 año,De 1 a 3 años,Menos de 1 año,De 1 a 3 años,No conozco,No conozco,Laravel (PHP);CodeIgniter (PHP);Zend Framework;Spring Boot (Java),jQuery;jQuery UI;AngularJS;React,SASS;LESS,,MySQL;Microsoft SQL Server;PostgreSQL,MongoDB,,"Documentación en la web;Cursos en plataformas MOOC (gratuitos, masivos y con evaluaciones);Cursos en línea de plataformas de pago;Libros, revistas y otras publicaciones impresas",Android,Phonegap;Reac Native
